"Site","Time","Landscape","Species","Abundance","SiteTime"
"Urban_Site1","September","Urban","Bird 48",15,"Urban_Site1_September"
"Urban_Site1","September","Urban","Bird 5",26,"Urban_Site1_September"
"Urban_Site1","September","Urban","Bird 50",32,"Urban_Site1_September"
"Urban_Site1","September","Urban","Bird 9",80,"Urban_Site1_September"
"Urban_Site2","January","Urban","Bird 16",94,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 2",43,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 23",41,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 27",98,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 3",92,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 31",93,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 35",73,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 36",36,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 38",31,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 39",37,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 40",39,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 42",39,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 43",22,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 45",44,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 49",94,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 6",61,"Urban_Site2_January"
"Urban_Site2","January","Urban","Bird 9",33,"Urban_Site2_January"
"Urban_Site2","May","Urban","Bird 10",98,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 14",50,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 15",75,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 17",93,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 2",56,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 20",21,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 23",4,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 27",11,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 32",25,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 33",48,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 37",73,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 38",72,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 39",15,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 40",71,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 42",23,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 44",9,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 46",43,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 6",56,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 7",86,"Urban_Site2_May"
"Urban_Site2","May","Urban","Bird 8",47,"Urban_Site2_May"
"Urban_Site2","September","Urban","Bird 13",16,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 17",29,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 24",25,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 31",68,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 35",78,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 45",9,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 50",41,"Urban_Site2_September"
"Urban_Site2","September","Urban","Bird 7",53,"Urban_Site2_September"
"Urban_Site3","January","Urban","Bird 12",30,"Urban_Site3_January"
"Urban_Site3","January","Urban","Bird 17",47,"Urban_Site3_January"
"Urban_Site3","January","Urban","Bird 21",50,"Urban_Site3_January"
"Urban_Site3","January","Urban","Bird 30",82,"Urban_Site3_January"
"Urban_Site3","January","Urban","Bird 34",89,"Urban_Site3_January"
"Urban_Site3","January","Urban","Bird 35",96,"Urban_Site3_January"
"Urban_Site3","January","Urban","Bird 50",67,"Urban_Site3_January"
"Urban_Site3","May","Urban","Bird 10",87,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 11",8,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 21",6,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 28",77,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 3",17,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 33",13,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 34",78,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 35",32,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 38",2,"Urban_Site3_May"
"Urban_Site3","May","Urban","Bird 40",71,"Urban_Site3_May"
"Urban_Site3","September","Urban","Bird 14",23,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 22",39,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 24",65,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 30",26,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 31",23,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 40",46,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 44",14,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 46",72,"Urban_Site3_September"
"Urban_Site3","September","Urban","Bird 50",48,"Urban_Site3_September"
